class_code,schedule,instructor,year
Math 2 THR,"TTh, 8:30-10AM","WALO, MA. LAILANI",AY1819A
Math 2 THU,"TTh, 10-11:30AM","CEJO, ROBERT JAY",AY1819A
Math 2 THV,"TTh, 11:30AM-1PM","WALO, MA. LAILANI",AY1819A
Math 2 WFV,"WF, 11:30AM-1PM","AGUILAR, ADJANI",AY1819A
Math 10 THR,"TTh, 8:30-10AM","ARCEO, CARLENE PERPETUA",AY1819A
Math 10 THU,"TTh, 10-11:30AM","ARCEO, CARLENE PERPETUA",AY1819A
Math 10 THW,"TTh, 1-2:30PM","NERI, MARRICK",AY1819A
Math 10 WFU,"WF, 10-11:30AM","BALMACEDA, JOSE MARIA",AY1819A
Math 11 THV,"TTh, 11:30AM-1PM","VERGARA, THOMAS HERALD",AY1819A
Math 11 WFR,"WF, 8:30-10AM","RIVERO, RACHELLE; VERGARA, THOMAS HERALD",AY1819A
Math 11 WFV,"WF, 11:30AM-1PM","DE LA CRUZ, RALPH JOHN",AY1819A
Math 14 THV,"TTh, 11:30AM-1PM","ABARA, MA. NERISSA",AY1819A
Math 14 THX,"TTh, 2:30-4PM","ABARA, MA. NERISSA",AY1819A
Math 14 WFQ,"WF, 7-8:30AM","ALAS, ROSE ANNE",AY1819A
Math 14 WFU,"WF, 10-11:30AM","VERGARA, THOMAS HERALD",AY1819A
Math 17 TWHFX,"TWThF, 2:30-3:45PM","AGUILAR, ADJANI",AY1819A
Math 20 THQWFQ1,"TWThF, 7:15-8:15AM","JUNIO, ALLAN; MARALIT, JRYL",AY1819A
Math 20 THQWFQ2,"TWThF, 7:15-8:15AM","JUNIO, ALLAN; STA. ANA, ANGELICA",AY1819A
Math 20 THQWFQ3,"TWThF, 7:15-8:15AM","JUNIO, ALLAN; YAO, HUBERT",AY1819A
Math 20 THQWFQ4,"TWThF, 7:15-8:15AM","JUNIO, ALLAN; LAMANDO, ARVIN",AY1819A
Math 20 THQWFR1,"TTh, 7:15-8:15AM","JUNIO, ALLAN; LAMANDO, ARVIN",AY1819A
Math 20 THQWFR3,"TTh, 7:15-8:15AM","JUNIO, ALLAN; YAO, HUBERT",AY1819A
Math 20 THRWFQ5,"WF, 7:15-8:15AM","CONSORTE, ODESSA",AY1819A
Math 20 THRWFR5,"TWThF, 8:45-9:45AM","CONSORTE, ODESSA",AY1819A
Math 20 THRWFR7,"TWThF, 8:45-9:45AM","CONSORTE, ODESSA; STA. ANA, ANGELICA",AY1819A
Math 20 THRWFR8,"TWThF, 8:45-9:45AM","CONSORTE, ODESSA; CRUZ, ANJELO GABRIEL",AY1819A
Math 20 THXWFW5,"WF, 1:15-2:15PM","JUNIO, ALLAN; CRUZ, ANJELO GABRIEL",AY1819A
